# word<TAB>count — self-count of Gutenberg PD texts; not CC-BY-SA wordfreq
# Sources: pg11.txt, pg1661.txt, pg1342.txt, pg84.txt, pg46.txt, pg35.txt
bear	48
clothes	48
direction	48
follow	48
morlocks	48
morrow	48
rushed	48
scrooges	48
wanted	48
arms	47
arrival	47
attempt	47
beginning	47
city	47
colour	47
comes	47
dress	47
england	47
explain	47
handsome	47
laughing	47
neighbourhood	47
respect	47
shook	47
show	47
sit	47
unable	47
wait	47
wishes	47
ball	46
besides	46
confess	46
existence	46
ha	46
health	46
heaven	46
ice	46
importance	46
joined	46
laugh	46
learn	46
line	46
march	46
meant	46
miles	46
opportunity	46
peace	46
promised	46
sake	46
secret	46
spite	46
started	46
unless	46
absence	45
acquainted	45
admiration	45
anxious	45
closed	45
duchess	45
hundred	45
lamp	45
repeated	45
rooms	45
speaking	45
younger	45
youth	45
begin	44
civility	44
considerable	44
dressed	44
enter	44
exceedingly	44
knowing	44
law	44
mentioned	44
mouse	44
moved	44
notice	44
perceived	44
presence	44
public	44
quiet	44
receive	44
remain	44
remembered	44
showed	44
slowly	44
stranger	44
sweet	44
tale	44
temper	44
works	44
wretched	44
wrote	44
around	43
baker	43
blood	43
books	43
cat	43
changed	43
die	43
facts	43
finished	43
ladyship	43
office	43
passage	43
peculiar	43
perfect	43
possessed	43
reply	43
safe	43
seek	43
strength	43
weeks	43
writing	43
bad	42
box	42
coat	42
considered	42
deeply	42
delighted	42
doctor	42
dont	42
hold	42
important	42
listen	42
marked	42
moon	42
order	42
paid	42
pale	42
send	42
single	42
stopped	42
success	42
twice	42
visitor	42
wild	42
advice	41
bourgh	41
curious	41
drawn	41
dream	41
equal	41
event	41
filled	41
finding	41
giving	41
grief	41
hearing	41
hertfordshire	41
mere	41
mountains	41
niece	41
pointed	41
sensations	41
simon	41
supposed	41
vain	41
waited	41
wedding	41
angry	40
covered	40
disposition	40
dormouse	40
drawing	40
eight	40
extraordinary	40
favour	40
foot	40
glass	40
grey	40
liked	40
mad	40
merry	40
mistaken	40
outside	40
path	40
quickly	40
remarkable	40
simple	40
singular	40
spoken	40
study	40
unhappy	40
watch	40
beg	39
capable	39
charge	39
credit	39
cry	39
events	39
explanation	39
express	39
forgotten	39
forster	39
hastily	39
hoped	39
horrible	39
innocent	39
join	39
leaving	39
looks	39
meaning	39
mention	39
officers	39
passion	39
plain	39
quietly	39
reading	39
shown	39
snow	39
tea	39
wonderful	39
yesterday	39
addressed	38
allen	38
approached	38
below	38
clearly	38
consequence	38
courage	38
dearest	38
especially	38
frequently	38
highly	38
humour	38
lestrade	38
noble	38
offer	38
ourselves	38
passing	38
piece	38
rich	38
rucastle	38
smiled	38
trust	38
try	38
various	38
women	38
affair	37
afternoon	37
anybody	37
attended	37
beheld	37
beneath	37
duty	37
eagerly	37
evidence	37
fashion	37
fate	37
favourite	37
finger	37
fitzwilliam	37
forced	37
forget	37
game	37
generally	37
goose	37
gratitude	37
henry	37
hot	37
invitation	37
knows	37
land	37
lane	37
loss	37
mccarthy	37
meeting	37
observe	37
possibly	37
raised	37
sensible	37
shut	37
smiling	37
trying	37
understood	37
vanished	37
alive	36
difficulty	36
eat	36
excuse	36
feared	36
frightened	36
geneva	36
lovely	36
makes	36
moments	36
neck	36
nobody	36
otherwise	36
pay	36
pity	36
run	36
satisfaction	36
says	36
space	36
summer	36
thick	36
top	36
complete	35
desired	35
difficult	35
draw	35
ears	35
experience	35
features	35
fiend	35
force	35
hill	35
history	35
houses	35
hurry	35
impression	35
inquiries	35
justice	35
language	35
mystery	35
number	35
opening	35
pause	35
persuaded	35
plan	35
rain	35
returning	35
river	35
servant	35
sufficient	35
thin	35
unfortunate	35
watching	35
worth	35
agony	34
angel	34
attentions	34
bound	34
ceased	34
church	34
connection	34
endeavour	34
extreme	34
fallen	34
gained	34
glance	34
hung	34
imagination	34
influence	34
learned	34
lying	34
medical	34
melancholy	34
monster	34
mouth	34
move	34
obvious	34
occupied	34
philips	34
pool	34
proceeded	34
questions	34
reach	34
recovered	34
science	34
seated	34
secure	34
sounds	34
speech	34
station	34
winter	34
witness	34
anxiety	33
attachment	33
brown	33
cases	33
dared	33
delightful	33
depend	33
dropped	33
escape	33
extremely	33
hare	33
hurst	33
lit	33
lose	33
matters	33
middle	33
noticed	33
period	33
pounds	33
putting	33
removed	33
rising	33
seized	33
spot	33
stop	33
superior	33
united	33
warm	33
weather	33
appears	32
bent	32
claim	32
concerning	32
connected	32
destroyed	32
disappointment	32
enemy	32
examined	32
farther	32
fond	32
greatly	32
heading	32
ideas	32
judge	32
larger	32
madam	32
majesty	32
murder	32
murderer	32
park	32
prevent	32
produced	32
proper	32
proved	32
quitted	32
relations	32
remark	32
shadow	32
stairs	32
stand	32
streets	32
suffer	32
suffered	32
surely	32
whenever	32
anger	31
animal	31
bit	31
blind	31
calling	31
calm	31
caused	31
chamber	31
cheerful	31
client	31
concern	31
continually	31
cratchit	31
discover	31
discovery	31
drive	31
food	31
fortnight	31
fortunate	31
glanced	31
intention	31
john	31
kindly	31
lake	31
later	31
lead	31
leaves	31
month	31
music	31
names	31
north	31
overcome	31
painful	31
persuade	31
picture	31
position	31
possession	31
related	31
resolution	31
sharp	31
shoulder	31
tiny	31
worse	31
act	30
affectionate	30
alarm	30
alas	30
altogether	30
avoid	30
beloved	30
consolation	30
dancing	30
didn	30
directed	30
dressing	30
eager	30
equally	30
evidently	30
familiar	30
fast	30
grave	30
growing	30
ignorant	30
increased	30
intelligence	30
jury	30
misfortune	30
native	30
nearer	30
partner	30
points	30
powers	30
rage	30
regret	30
shape	30
size	30
tall	30
third	30
vast	30
wall	30
wholly	30
anguish	29
bird	29
broke	29
cab	29
caterpillar	29
chin	29
circumstance	29
concerned	29
describe	29
design	29
directly	29
dislike	29
doors	29
dr	29
english	29
estate	29
excited	29
expectation	29
faces	29
fears	29
flowers	29
foundation	29
glancing	29
inspector	29
intended	29
iron	29
library	29
lives	29
narrow	29
pardon	29
places	29
quarter	29
rendered	29
result	29
sentence	29
terrible	29
th	29
touched	29
train	29
tree	29
understanding	29
unknown	29
upstairs	29
victor	29
woods	29
absolute	28
austen	28
bless	28
breath	28
carry	28
choose	28
compliment	28
conviction	28
coronet	28
